大会年度,セッションID,発表ID,発表タイトル,発表サブタイトル,キーワード,要約
2022,2L5-KS-16,2L5-KS-16-01,AIマップの活用とβ3.0への展開,,,人工知能学会では，AIマップタスクフォースを組織し，2019年6月にAIマップβ，2020年6月にAIマップβ2.0を公開しました．AIマップは技術マップと課題マップから構成されており，初学者や異分野の研究者，実務者に向けた人工知能技術の活用ガイドとして作成しています．今回のセッションでは，ビジネスにおけるAIマップの活用事例や，学会活動との連携，アウトリーチの取り組みを紹介し，次期のAIマップβ3.0の方向性について議論する．プログラム：・趣旨説明・AIマップの概要大向一輝（東京大学）・ビジネスにおける活用事例吉岡健（富士フイルム）・AIマップβ3.0に向けた取り組み1植野研（東芝）・AIマップβ3.0に向けた取り組み2松尾豊（東京大学）・パネルディスカッション・質疑応答発表者4名友野孝夫（凸版印刷）
2022,2L6-KS-11,2L6-KS-11-01,コモンセンスAIを基軸とするケア情報学の社会実装,,,全国大会の近未来チャレンジ「認知症の人の情動理解基盤技術とコミュニケーション支援への応用」を基盤に発足したみんなの認知症情報学会の活動をベースに，内閣府の戦略的イノベーション創造プログラム（SIP）に採択された「“認知症の本人と家族の視点を重視する”マルチモーダルなヒューマン・インタラクション技術による自立共生支援AIの研究開発と社会実装」のプロジェクトを，JSAI2019・JSAI2020の企画セッションにて紹介した．SIPプロジェクトの主要成果が，本学会「コモンセンスと感情」研究会において多彩な分野の研究者・実務家と育んだコモンセンスAI理論を取り入れた「ケア情報学」の発足である．本企画セッションでは，ケア情報学の拠点である静岡大学とみんなの認知症情報学会，石川県加賀市が2020年11月に締結した「AIを活用した健康長寿のまちづくり」連携協定に基づく，自治体との協業によるケア情報学の社会実装の取り組みを紹介し，社会課題解決に資するコモンセンスAIの今後の展望について議論する．
2022,2M1-OS-19a,2M1-OS-19a-01,DreamingV2: 再構成不要な離散状態世界モデル学習と強化学習,,世界モデル、強化学習、表現学習,本稿では、世界モデルに基づく強化学習であるDreamerV2とDreamingを拡張したDreamingV2を提案する。DreamerV2は潜在状態をカテゴリ変数で表現する離散世界モデルを用いた強化学習手法である。またDreamingは、対照学習により、一般的な世界モデル学習におけるオートエンコーディング（再構成）の過程を用いない強化学習手法である。提案するDreamingV2は、DreamingV2の離散状態表現とDreamingの再構成不要な世界モデル学習の両者を採用した手法である。5つのロボットアームのタスクのシミュレーション実験において、DreamingV2はDreamerV2および最新の世界モデルを上回る性能を達成した。DreamingV2は実世界の不連続的なダイナミクスを離散表現で適切に表現でき、また実世界の複雑な画像観測の再構成を不要とすることから、DreamingV2はロボット強化学習の有効な手段であると考えられる。
2022,2M1-OS-19a,2M1-OS-19a-02,画像内の物体に着目した動きの変化点抽出への取り組み,,グラフ構造、物理特性、世界モデル、VTA,"機械学習を用いた実世界理解は近年の重要な課題の1つである。ヒトは実世界を認識し理解するために、視覚から得られる連続的な情報を離散的に切り分けて取り込む。Variational Temporal Abstraction (VTA)[Kim et al.,2019]は、視覚情報から環境の移り変わりを潜在構造として抽出するモデルである。しかしVTAは画像の特徴量の変化点を抽出したものに基づき構造化を行っており、画像内における物体の物理的な動作特性などを考慮したヒトが行うような認識を表現したモデルとは言い難い。そこで本研究では、ヒトが行うような物体動作認識に基づく環境認識を実現するために、物体間の動作特性の関係をグラフ構造として表現し、環境の変化に対する変局点を抽出できるようVTAの改良を試みた。また変化点として抽出されたグラフが物体の衝突や消滅、停止を正しく判定しているかについて、精度の検証を行った。"
2022,2M1-OS-19a,2M1-OS-19a-03,マルチモーダルデータから共通・個別潜在表現を抽出する深層生成モデル,,深層生成モデル、マルチモーダル、変分自己符号化器、共通個別潜在表現,画像や音声といった非時系列・時系列のマルチモーダルデータから潜在表現の抽出や生成に関する学習が出来れば，モダリティ間に共通する構造の理解やモダリティ間の変換が可能になる．本研究は特に，深層生成モデルを用いたマルチモーダルデータの潜在表現抽出に関する方法論の確立を目指す．特定モダリティのデータは低次元の潜在表現を有すると考えられるが，別のモダリティとその表現全てを共有可能であるとは限らない．そこで本研究では，モダリティ間に共通・個別の潜在表現が存在すると仮定し，それらを分離抽出可能なマルチモーダル深層生成モデルの構築及び人工データを用いた評価実験を実施した． 　2種類のモダリティを想定し，評価実験のデータとして，アルファベット文字の背景色を変化させた背景色付き画像（非時系列データ）と，文字の軌跡の速度を変化させた速度変更ストローク（時系列データ）のペアを用意した． 　学習後の各潜在空間を可視化したところ，両モダリティ間の共通表現として文字ラベルが，個別表現としてそれぞれ，背景色情報と速度情報が分離抽出されていることを確認した．
2022,2M1-OS-19a,2M1-OS-19a-04,少量のペアデータによる言語と動作の双方向変換の学習,,言語動作統合、少量データからの学習、表現獲得,本研究では少量のペアデータを用いた言語指示と動作の双方向変換の実現を目指す．ロボットにとって，言語指示から動作を生成する能力と自身の動作を適切に説明する能力は，日常生活の場で人間と協働するために不可欠である．この時，ロボットは実世界の事物と言語表現を結びつける必要があり，一般にはこれらの完全なペアデータが必要である．機械学習を用いる場合，大規模なデータセットが必要となるが，動作のキャプショニングも動作の収集もいずれも容易ではなく，大量のペアデータを集めることは困難である．そこで本研究では，言語と動作の双方向変換に関する，完全なペアデータを必要としない段階的な学習を提案する．独立した大規模なデータで言語と動作の各Autoencoderを学習後，小規模なデータでそれらの中間表現を結びつける学習制約を含む，モデル全体のfine-tuningを行った．モーションキャプチャによる動作とキャプション文からなる大規模なペアデータセットを用い，言語と動作の相互の生成で評価した結果，ペアデータが少数の場合でも適切な双方向変換が確かめられた．また，提案手法は特に動作生成において有用であることが示唆された．
2022,2M1-OS-19a,2M1-OS-19a-05,再帰的自己教師あり学習による表現学習に関する研究,,自己教師あり学習、表現学習,従来の深層学習は、入力及び教師データに対してモデル構造が事前仮定され、タスクごとに個別最適化されたモデルが数多く提案されてきた。近年、教師データを用いずに入力データのみからモデルを学習し、後続タスクに利用可能な表現を獲得する、自己教師あり学習という手法が活発に研究されている。一方で、それらの多くは依然としてモデル構造を事前定義した学習を行なっている。そこで、入力となる外界刺激のみから適切なネットワーク構造を築く大脳新皮質の仕組みを参考に、再帰的自己教師あり学習という枠組みを本研究で提案する。これは自己教師あり学習によって訓練されたネットワークから生成される中間層特徴量の状態を、さらに自己教師あり学習で予測するという処理を再帰的に繰り返すことで、特徴量抽出層をボトムアップで積み重ね、入力を統合した高次な特徴を生み出すものである。実験では、特徴量抽出層の重み可視化と、中間層特徴量の線形分類精度によって、定性的・定量的に有効性を検証した。自己教師あり学習のタスクが適切に設定された場合に、提案手法の有効性が実験により示された。本研究は、入力に応じて適切な構造を構築できる可能性を示唆している。
2022,2M3-LS-8,2M3-LS-8-01,AIと共に生きる世界を目指す日立の研究開発のご紹介,,,日立の研究開発では，「優れた自主技術・製品の開発を通じて社会に貢献する」という企業理念を実践し，その時々の最先端技術開発に取り組みながら，未来につながるイノベーションを創出しています．本セッションでは，そんな日立がAIと共に生きる世界を目指し取り組んでいるeXplanable AI技術や，材料開発ソリューションについてご紹介します。これらの取り組み紹介を通じて，学会参加者の皆様とこれからのAIについてご議論させていただければと思います．
2022,2M4-OS-19b,2M4-OS-19b-01,PID制御可能な世界モデル獲得に関する研究,,世界モデル、表現学習、制御理論,世界モデル（低次元の潜在状態表現とダイナミクスモデル）の学習は、画像観測に基づく制御を可能にする有効なパラダイムである。一方で、既存の世界モデルに基づく研究において制御方策はニューラル方策によって表現されており、実時間制御や出力の説明可能性など様々な厳しい条件が求められる産業応用への適用が困難という課題があった。本研究では制御の実応用において確立された手段であるPID制御が適用可能な世界モデルの獲得を目指す。世界モデルの表現手段であるRecurrent State Space Modelを対象に、新しい損失関数の導出や、潜在状態の可視化・制御実験を実施し、PID制御可能なモデル獲得について検討を行う。
2022,2M4-OS-19b,2M4-OS-19b-02,潜在空間上における目標状態へのベクトルとしての行動表現,,潜在行動、表現学習,"既存の強化学習における枠組みでは，行動空間の設計には重点を置かれないまま行動を行動空間の点として扱っている．既存の強化学習の行動への捉え方とは異なり，我々は人間の行動過程を参考に，目標状態への到達に向けた潜在空間上での変化量として行動をとらえ，これを潜在行動と定義する．潜在空間上での制御目標までの距離を最小化するように潜在行動を取ることが実際の入力空間における最適行動に対応することを目指し，未来の観測を予測する変分自己符号化器を使用した潜在空間の表現学習手法を検討する. 未来の観測を予測しない, 現在の観測を復元するような変分自己符号化器を使用し, 入力空間での制御目標との誤差から行動を選択する手法と比べ安定して制御目標に収束することを実験で示し, 今後潜在行動による行動選択手法を拡張させていく上で課題となりうる事柄について考察する."
2022,2M4-OS-19b,2M4-OS-19b-03,モデルベース・モデルフリー強化学習の調停について,,モデルベース強化学習、モデルフリー強化学習,強化学習は環境のモデルを陽に推定し学習に利用するモデルベース法と，実際または仮想的に得られた状態行動遷移対から学習するモデルフリー法に大別できる．我々はこれまでに性質の異なる複数のモデルフリー強化学習器とモデルベース強化学習器を並列に学習させつつ，性能に応じて学習器を非同期に切り替える手法を提案し，単純なアルゴリズムが複雑なアルゴリズムの学習に貢献することを示した．しかしモジュールの切り替え条件は価値関数の値に応じて確率的に決定され，モデルベースとモデルフリーの切り替えそのものを学習することは検討していなかった．また状態の予測誤差や報酬予測誤差など重要な要素を考慮していなかった．そこで本研究では価値関数に応じて切り替える方法、状態や価値の予測誤差に応じて切り替える方法，両者の重みづけで切り替える方法，さらに両者の重みを学習する方法を比較検討し、学習効率，環境の変化に対する追従能力，さらに神経科学の観点からの考察を行う．
2022,2M4-OS-19b,2M4-OS-19b-04,状態行動予測と状態推定のKL情報量最小化による世界モデルに基づいた模倣学習,,模倣学習、世界モデル,本論文では，学習した方策の状態遷移予測結果とエキスパートデータの状態推定結果との間のKL情報量を最小化することに基づいた模倣学習手法を提案する．状態推定には，世界モデルの一種であるRecurrent State Space Model (RSSM)を用いる．RSSMは，State of the Artな深層強化学習手法であるPlaNetやDreamerにおいて使用されている．MuJoCoシミュレーション環境上での比較を行った．実験結果から，提案手法は他の比較手法よりも高い累積報酬を獲得できることが分かった．本手法による学習は，行動を直接模倣するのではなく，状態遷移に基づく模倣学習が可能である．
2022,2M5-OS-19c,2M5-OS-19c-01,Parametric Biasを含む深層予測モデル学習と多様な実ロボットへの応用,,ロボティクス、深層学習、予測モデル,"ロボットがタスクを実行する際, その身体, 対象物体, 道具, 動作環境の間の関係性をモデル化し, 指令にしたがって身体を制御する必要がある. しかし, それらの関係が複雑である場合, 古典的手法ではそのモデル化自体が難しい. また, それらの関係が時間と伴に変化する場合, そのモデルの逐次的変化に対応する必要がある. そこで本研究では, このモデル化困難性と逐次的モデル変化に対応可能Parametric Biasを含む予測モデル学習について提案する. その理論について一般化して述べたうえで, 柔軟ハンドにおける把持制御と把持物体認識, 台車型ロボットの環境適応型分散最小化制御, 筋骨格型台車ロボットによる柔軟布操作, 全身筋骨格ヒューマノイドにおける靴の変化を考慮したバランス制御等の様々なロボット・タスクにおける実験をまとめ, その有効性について考察する."
2022,2M5-OS-19c,2M5-OS-19c-02,マルチモーダルRSSMを用いた実ロボットによる卵殻切削タスク学習,,世界モデル、模倣学習、マルチモーダル学習、マニピュレーション,本研究では，Multimodal Recurrent State Space Model (MRSSM)による卵殻切削タスクの学習を行い，構成される状態表現空間の分析とMRSSMを用いた実ロボットの制御を行った．生物実験の手法の一つにラットの頭蓋骨にクラニアルウィンドウを作成する手法があり，その模擬タスクとしてエッグタスクが存在する．このエッグタスクは画像情報のみではドリルの接触状態と非接触状態の判別が難しい．そこで画像情報だけでなく音声情報を用いることで，接触状態と非接触状態を切り分けた状態空間を構成することができると考えられる．実験では実ロボットを用いてエキスパートデータを収集し，潜在状態の遷移を確認した．また，エキスパートデータで学習したMultimodal RSSMを用いて実ロボットを制御し，卵殻切削タスクを行なった．実験の結果，画像と音声を用いて学習したMultimodal RSSMにおいてドリルと卵殻の接触状態と貫通状態で異なる状態への遷移が見られた．また，Multimodal RSSMを用いて実ロボットの制御が可能であることを確認した．
2022,2M5-OS-19c,2M5-OS-19c-03,深層学習を用いた協働ロボットによる作業目標の推論と動的修正の実現,,深層学習、ロボット学習、人間-ロボット協調、目標志向行動、予測誤差最小化,ロボットが人と協働作業をするには，作業目標が共有されている必要がある．目標の共有方法には，画像等であらかじめ伝える方法，ロボットが自ら推論する方法がある．人の作業をロボットが自発的に手助けする場面を想定し，本研究では後者に注目する． 本研究では，ロボットが現在状況から到達可能な目標を推論し，行動を生成できるようにすることを目指す． それに対するアプローチとして，現在画像と目標画像から目標の潜在表現を抽出するモデルと，現在画像のみから目標の潜在表現を推論するモデルを用いた．各潜在表現の距離を近づけることにより，現在画像のみから目標の潜在表現を推論することを可能にしている．推論された目標の潜在表現と，現時刻のロボットの姿勢，画像を行動生成モデルに入力し，行動を生成する．このとき未来の画像の予測も同時に行い，予測値と実測値の誤差を用いて目標の潜在表現を更新する．これにより，人が目標を途中で変更した際には，それを認識して目標を修正できる． 評価実験として，ロボットと人が協調して物体を移動させるタスクを行った．現在状況から目標を推論して行動を生成しつつ，人に合わせて目標を修正できることが確認された．
2022,2M5-OS-19c,2M5-OS-19c-04,制御方策の学習アルゴリズムにおける時間の離散化の影響と連続時間への拡張に向けた考察,,ロボット学習、強化学習、深層強化学習、時間離散化,深層強化学習分野を中心に，画像などの高次元のセンサ情報を入力にエージェントの方策をend-to-endに学習する試みは数多く行われており，主にビデオゲームやロボットの簡易なシミュレータを用いて有効性が検証されてきた．これらの研究で利用される環境の多くは，時間が離散化され，観測や行動が同期的に動作する前提で設計されている．これは，様々なセンサやアクチュエータが異なる周波数で非同期的に動作し，計算時間も考慮に入れる必要がある実ロボットシステムの性質と異なっており，現実世界でend-to-endな制御方策の学習が困難な要因の一つである．本論文では，時間の離散化に関するこれまでの研究をまとめて議論したあと，実験として，連続値制御の深層強化学習で頻繁に利用されるアルゴリズムとロボットシミュレーション環境を用いて，時間の離散化幅が学習される方策の性能に与える影響に関して検証し，考察を行う．
2022,2M5-OS-19c,2M5-OS-19c-05,触覚センサによる挿入位置補正とNewtonianVAE による潜在空間上での比例制御を用いたコネクタ挿入,,状態表現学習、触覚センサ、コネクタ挿入、ロボット制御,コネクタ挿入タスクではサブミリの位置決め精度が要求される。近年、Deep Learningによる回帰モデルを用いて画像からソケットの位置ズレを高精度に補正する技術が研究されている。しかし、コネクタの把持姿勢はロボット自身の指によるオクルージョンにより観測が困難である。また、観測したコネクタの把持姿勢を用いてロボットの動作を精度よく補正する汎用的なフレームワークの構築は未解決の課題である。本研究では、光学式触覚センサを用いて観測したコネクタの把持姿勢を考慮した世界モデル（低次元の潜在状態表現とダイナミクスモデル）の学習に関する検討を行う。また、ダイナミクスモデルに一定の制約を課すことで比例制御可能な潜在空間を獲得し、潜在空間上で比例制御することでロボット実機によるコネクタ挿入を実現することを目指す。
2022,2M6-OS-19d,2M6-OS-19d-01,2D画像生成ベースの疑似3Dモデルと仮想世界での利用方法,,世界モデル、仮想現実,物理世界の幅広い物体すべてをそのままの見た目や機能でデジタル化することは、仮想現実 (VR) の野心的な目標の1つである。現行のVRアプリケーションでは、物理世界の物体をメッシュなどの明示的なデータ形式に変換して活用し高速なインタラクションやレンダリングを可能にするが、このような明示的なデータ形式はVR内で表現できるリアルさの上界になっている。この限界を取り払うべく、ゲーム分野で使われる古典的なビルボードと呼ばれる技術から発想を得て、私たちはニューラルネットでリアルタイムにレンダリングされる2D画像だけで近似的に3Dオブジェクトを表現するDeep Billboardsを開発した。私たちのシステムは、一般的なVRヘッドセットでもクラウドレンダリングを活用することでリアルタイムかつ高解像度に、幅広い質感を持つあるいは変形するオブジェクトなどを利用することを実現し、物理世界と仮想世界の間のギャップを劇的に狭めることに貢献する。さらに、古典的なビルボードでは物理インタラクションが再現できなかった問題も単純な工夫により広く解決でき、DeepBillboardsが広く活用できることを示す。
2022,2M6-OS-19d,2M6-OS-19d-02,物体中心学習における時間方向のもつれを解いたエンティティ表現の獲得,,表現学習、世界モデル、構成性,人間は世界を知覚する際、視覚情報を空間的かつ時間的に分離していると考えられており、深層学習においても同様にもつれを解いた意味ある表現を獲得することは、予測および計画において重要である。近年の研究では、複数オブジェクトから構成されるシーンから物体ごとの表現をそれぞれ獲得し、その相互作用を予測できるモデルが提案されているが、その汎化能力はまだ高いとはいえない。この論文では、物体ごとの表現を、行動に条件づけることで、時間方向に局所的な潜在変数と時間不変な大域的な潜在変数にdisentangleするモデルを提案する。実験を通して、うまくもつれを解いた表現を獲得できていることに加えて、この表現がオブジェクト・セントリックなプランニングや未知の物体や相互作用の組み合わせに対してうまく汎化できるかを検証する。
2022,2M6-OS-19d,2M6-OS-19d-03,微分可能な自動データ拡張を用いたラベルなしテストデータセットの評価,,ラベルなしテスト評価、データ拡張、深層学習,深層学習を用いた実応用研究及びオープンデータセットの整備が進んでいる．実世界での精度評価のために収集データへのアノテーションが必要となるが，さまざまな条件下での運用を想定した場合収集データが膨大になり，アノテーションの問題が生じる．そこで本研究では，ラベルあり訓練データを用いたラベルなしテスト評価に取り組む．学習済みモデル(分類器)の与えられたデータセットにおける精度を予測可能なモデル(予測器)を用いることで，ラベルなしテストセットでの精度の予測が可能となる．予測器を訓練させるため，ラベルあり訓練データを変換したデータセット(メタセット)を用意する．メタセットには元のデータセットのラベルが付与されているため，学習済み分類器による精度の回帰問題として定式化ができる．この時，学習データであるメタセットの作成方法が重要となる．本研究では，テストセットの統計量から必要なメタセットの統計量を算出し，微分可能なデータ拡張を用いて所望のメタセットを作成する手法を提案する．本研究では，MNISTやUSPSなどのベンチマークデータセットを用いて実験を行い，その結果を報告する．
2022,2M6-OS-19d,2M6-OS-19d-04,WB-PGM: 全脳確率的生成モデル,,認知アーキテクチャ、確率的生成モデル、脳型人工知能、認知発達ロボティクス、記号創発ロボティクス,本発表では著者らが提案し推進する全脳確率的生成モデル（WB-PGM: Whole-Brain Probabilistic Generative Model）のアプローチとその展望について概説する。世界モデルはセンサ・モータ情報を行動主体の主観的な視点からコーディングする予測モデルである。マルチモーダルな情報を統合し、複雑な身体を統御し、環境に適応できる人間の知能、および発達的なロボットの構成をその延長線上で捉えようとすると、その認知アーキテクチャとしての構造を検討する必要が現れる。WB-PGMは、人間の全能の構造に学ぶとともに、予測学習を基礎に据えた確率的生成モデルにより認知アーキテクチャを構築しようというアプローチである。本発表ではその基本的な考え方と展望に関しての報告する。
2022,2N4-GS-5,2N4-GS-5-01,他者意見の推定がもたらす社会分極化,,計算社会科学、マルチエージェントシミュレーション、分極化,近年のソーシャルメディアの発達により，個人が世界に向けて発信することが可能となり，多様な意見に接する機会が増加している．一方で，ソーシャルメディア上ではエコーチェンバー現象により分極化が進みやすいことが知られており，社会の分断の発生が問題となっている．分断を抑える社会システムの設計には，その発生メカニズムの理解が必要不可欠である．そこで本研究では，他者の態度推定に基づき意見表明が行われるという仮定のもと，態度の推定が分断に与える影響とその過程を明らかにすることを目的とする．手法として，意見表明に対する報酬と懲罰をベースとして信念を更新するモデルを構築し，マルチエージェントシミュレーションによって意見表明の時系列変化を分析した．その結果，周囲の態度を誤推定することで表明される意見に偏りが生じ，分断が発生することが示唆された．
2022,2N4-GS-5,2N4-GS-5-02,重心移動を用いた仲介役ロボットの介入行動は対人葛藤場面における人々の攻撃的感情を抑制するか？,,仲介役ロボット、重心移動、ハンドヘルドデバイス、テキストメッセージング、怒り抑制,"健全な人間関係を維持するためには, 怒りなどの攻撃的な感情をうまく制御することが肝要である．一方，テキストメッセージングでは，人々の攻撃的な言動が増加しやすいと言われている．本研究では，内部に可動錘を有するハンドヘルド型ロボットを人間同士のメッセージングにおける仲介役として用いる．音声対話（メッセージ受信者の怒りをなだめるなど）に加えて，内部ウエイトの動きによる触力覚提示を行うことで，ロボットの意図伝達性を強め，メッセージ受信者の心理状態に重要な影響を与えられる可能性がある．そこで我々はこの仮説検証のために，94名の実験参加者をそれぞれ欲求不満状態になるようシナリオを用いて統制し，重心移動の有無×3種類の音声対話における６条件の比較実験を行った．結果，重心移動にはユーザーの怒りやその他の攻撃的な感情を鎮める効果があることが分かった（ユーザーの怒りは約22％抑制された）．加えて，そうした重心移動の効果はロボットの発話の種類よりも先行して人々の感情に影響を与えていたことも示唆された．"
2022,2N4-GS-5,2N4-GS-5-03,メタ認知を活用したソーシャルネットワーク上の意見集約法の分析,,意見集約、メタ認知、ソーシャルネットワーク,本研究では，ソーシャルネットワーク上のメタ認知を活用した意見集約方法を分析する．多数決は代表的な意見集約法であるが，多数派が誤った意見を持つ場合，誤った結果をもたらす可能性がある．このような課題を解決する意見集約法の一つとして，人々のメタ認知を活用したSurprisingly Popular方式（SP）提案されている．既存研究では，実際のクラウドソーシンングサービスを用いて，その有効性を検証している．しかしながら，ソーシャルネットワーク上の人々がSPによって社会的意思決定を行う場合，どの程度有効であるか分析されていない．本研究では，計算機実験によって，SPの結果が(1)人々のメタ認知の正しさと(2)ソーシャルネットワーク構造に基づいていることを示す．
2022,2N4-GS-5,2N4-GS-5-04,群集の行動の測定による事件発生の検知,,マルチエージェントシミュレーション、群衆行動理解、犯罪予測,"昨年, 東京でオリンピックが開催されることに際して, 国内では ICT を活用したテロ対策や安全性強化の需要が高まっていた. 警察は繁華街における犯罪の予防と被害の未然防止を図るため, 街頭に監視カメラを設置して24時間モニタリングしている. 犯人の検挙には, 個人や店舗が設置している防犯カメラの映像を提供してもらい捜査に活用する場合もある. しかし, 人員による監視には見過ごしや即応性などの観点で課題が残る. 本研究では, 不審者当人ではなく防犯カメラで捉えた群衆全体の行動の測定により事件事故の発生の検知を目的とする. 先行研究では群衆の中ではオクルージョンの影響により個人の動作を検出するのは困難だとされる. よって, 事件を目撃した群衆は何かしら回避行動をとるという仮定のもと, 監視カメラの映像から群衆の動きを推定し事件事故の発生を検知する. 実験では, シミュレーション環境を用いて歩行者の行動を再現し, 行動の軌跡から回避行動の検出を行い, 最も歩行者が多い状況で68%の精度で回避行動の検出ができた."
2022,2N4-GS-5,2N4-GS-5-05,ソーシャルネットワーク上での両方向マッチング,,メカニズムデザイン、マッチング,マルチエージェントシステムの分野において，エージェントにソーシャルネットワーク上での情報拡散の動機を与える意思決定メカニズムの設計が注目を集めている．本論文では，学生と学校との間のマッチング問題に関して，学生間のソーシャルネットワーク上での情報拡散を動機づけるマッチングメカニズムの設計を行う．具体的には，誘因，効率性，安定性，ならびに公平性の４つの評価指標に着目し，他のメカニズムに支配されない，すなわちパレートフロンティアな，３つのマッチングメカニズムを提案する．
2022,2N5-OS-7a,2N5-OS-7a-01,(OS招待講演) マルチモーダル対話ロボットの実現を目指して,,対話システム、マルチモーダル、ロボット,近年、雑談を始めとする対話システムの性能が大きく向上している。対話システムがロボットに搭載される場合、ロボットは音声発話だけでなく表情やジェスチャなど複数の出力チャネルを持つことになる。また、様々なセンサを用いることで、入力もマルチモーダル信号となる。こうしたマルチモーダル対話システムを構築するためにはマルチモーダル情報が揃ったデータセット必要になるが、モダリティが増えるほどデータの収集が困難になる。本講演では、こうした問題を解決するために取り組んだマルチモーダル統合技術について述べると共に、マルチモーダル対話ロボットの課題について議論する。
2022,2N5-OS-7a,2N5-OS-7a-02,共生社会におけるアンドロイドロボットのためのマルチモーダル対話戦略の構築,,対話ロボット、Hobbyist、BERT,対話知能学の研究分野において，アンドロイドロボットを用いた対話システムの実証実験が開始されている．本論文では，これまでの知見をもとに様々な技術や工夫を施した対面販売ロボットシステムを紹介する．旅行代理店業務を行うアンドロイドに顔の表情，目の動き，頭の動き，音声生成などのマルチモーダル制御を加え自律動作させ，顧客としてのユーザの印象を調査した．2021年に開催の第一回対話ロボットコンペティションを通じたユーザ調査の結果は，ロボット共生に向けた課題の発見につながると期待されている．
2022,2N5-OS-7a,2N5-OS-7a-03,観測・記憶から状況に応じた説明を生成する自律移動型ロボット,,知能ロボット、自律移動型ロボット、ソーシャルロボット、言語生成、記憶,ユーザとの共生空間で動作するロボットには、ユーザから信頼され協調動作をスムーズに実行することが求められる。そのためには、ロボットがどのような外界観測を行いそこから何を記憶しどのような意図を生成したのかを、ユーザが理解できるように表出させることが重要である。外界観測結果や記憶・意図を表出させる有効な手段として、言語を用いたインタラクションがある。ユーザに言語で様々な情報を伝えようとする場合、何を言語化するかだけでなく、何を言語化しないかも重要である。本研究では、ユーザ案内タスクを設定し、ロボットの外界観測結果と記憶情報のうち何を言語化し何を言語化させなければ、過不足無い適切な対話インタラクションを実現できるのかを明らかにすることを目的とした。具体的には、自身の外界観測結果と記憶情報を言語化できる自律移動型対話ロボットプラットフォームを用いて、様々なパターンの説明生成を外界観測結果と記憶情報から行い、それぞれの対話インタラクションに対して、ユーザの主観評価を行った。
2022,2N5-OS-7a,2N5-OS-7a-04,移動体から見える風景を話題とする雑談対話システム,,雑談対話システム、大規模Transformerモデル、画像に基づく対話,従来のTransformerベースの雑談システム研究では，テキストに閉じた対話を対象とすることが多い．また画像を利用する場合も，1枚ないし数枚の少数画像の認識結果に基づいて，話題を導入するための発話を行うものに限られている．本研究では，クルマから見える移り変わる景色を話題として，パートナーのように知識応答や共感応答をする対話システムを提案する．大規模Transformer対話モデルを画像情報と合わせてIntermediate trainingを行うことで車窓の画像と対話文脈を同時に利用する対話モデルを構築し，さらに現在地周辺の店舗情報等を外部知識として導入することで，移動中のクルマからの風景を話題とする雑談を実現する．
2022,2N5-OS-7a,2N5-OS-7a-05,完全自動運転車導入期における搭乗者の信頼を得る運転状況通知エージェントの提案,,ヒューマンエージェントインタラクション、音声対話ロボット、自動運転,本研究では，自動運転レベル4以上の高度自動運転車において，自動運転システムが把握している運転状況を発話によって搭乗者に通知する運転状況通知エージェントを提案する．自動運転車における運転状況を車両の各種センサから取得後，周囲状況を自動運転システムが精査し，運転操作を確定させる．確定した運転操作に伴い，音声発話やエージェントのジェスチャによって運転状況を搭乗者に通知する．提案エージェントシステムは，高度自動運転に対して不安を持つユーザから信頼を得るために有用であると考えられる．本発表においては，ビデオベース調査によって提案エージェントの印象評価を行った結果を報告する．
2022,2N6-OS-7b,2N6-OS-7b-01,高齢者見守り声掛けロボットのシナリオベース対話中のユーザ発話終了予測に基づく話者交替タイミングの決定,,コミュニケーションロボット、シナリオベース対話、話者交替,本研究では在宅高齢者のための見守り声掛けロボットシステムを構築している。 高齢者ユーザとの二者間対話を、音声認識精度に依存せず成立させるため、本システムではシナリオベース対話を用いる。 ロボット声掛けシナリオは、ユーザの返答内容に関わらず成り立つように作成する。 著者らはこれまでに対話システムを試作し、音声認識せずに対話が成立したことを実験にて確認した。 無音区間検出に基づき話者交替をしたが、ユーザ個人が対話しやすく感じるタイミングで話者交替ができない課題があった。 無音区間の個人差を学習できれば、ユーザの話しやすいタイミングでの話者交替に近づくと考えられる。 そこで本稿では、ユーザ発話中の無音区間の個人差を学習して、発話終了を予測する手法と、それを用いた対話実験について報告する。 対話中に無音区間を検出し、ロボット声掛けとの対応関係をオンライン学習した。そして、ユーザ発話終了予測に基づき話者交替のタイミングを決定した。 約５分の対話実験では、タイミング良く対話できたと感じたユーザがいた一方、タイミングを合わせにくいと感じたユーザもいた。 今後はユーザとの相互作用を考慮したシステムの検討を行う。
